username,user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,gender,location,birth_date,access_rank,join_date,last_online,stats_mean_score,stats_rewatched,stats_episodes
karthiga,2255153,3,49,1,0,0,55.31,Female,"Chennai, India ",1990-04-29,,2013-03-03,2014-02-04 01:32:00,7.43,0,3391
RedvelvetDaisuki,1897606,61,396,39,0,206,118.07,Female,Manila,1995-01-01,,2012-12-13,1900-05-13 02:47:00,6.78,80,7094
Damonashu,37326,45,195,27,25,59,83.70,Male,"Detroit,Michigan",1991-08-01,,2008-02-13,1900-03-24 12:48:00,6.15,6,4936
bskai,228342,25,414,2,5,11,167.16,Male,"Nayarit, Mexico",1990-12-14,,2009-08-31,2014-05-12 16:35:00,8.27,1,10081
shuzzable,2347781,36,72,16,2,25,35.48,,,,,2013-03-25,2015-09-09 21:54:00,9.06,7,2154
terune_uzumaki,327311,5,5,0,0,0,15.20,Female,"Malaysia, Kuantan",1998-08-24,,2010-05-10,2012-10-18 19:06:00,9.7,6,920
Bas_G,5015094,35,114,6,20,175,30.81,Male,"Nijmegen, Nederland",1999-10-24,,2015-11-26,1900-05-10 13:53:00,7.86,0,1847
punane,39250,1,0,0,0,0,2.97,,,,,2008-02-24,2011-02-13 02:42:00,8.0,0,178
-otaku-sama-,4583478,0,4,0,0,1,6.42,,,,,2015-04-27,2015-05-04 19:05:00,8.6,0,371
sprite1989,102436,2583,102,0,0,22,30.86,Male,,1989-07-29,,2008-10-06,2017-10-30 05:26:00,8.49,0,1829
thetreedude,28328,11,703,27,29,79,206.68,Male,California,,,2007-12-29,2017-09-10 19:04:00,7.23,9,12458
Heihouka,12489,8,69,0,8,0,112.73,Male,,,,2007-09-06,2015-08-30 04:36:00,8.21,29,6871
HimeAria,3129315,2,87,2,0,28,20.12,Female,Poland,1996-09-26,,2013-09-08,1900-04-27 10:52:00,8.23,0,1314
Skallington,326733,0,3,0,0,0,4.32,Male,Norberg Sweden,1991-03-15,,2010-05-09,2010-05-12 06:29:00,10.0,7,251
Slimak,61677,79,224,0,3,84,126.17,Male,Poland,1988-02-21,,2008-05-18,1900-05-01 05:04:00,7.77,2,7472
Elysiun,5927342,7,4,0,0,4,2.09,Male,Nebraska,1984-11-16,,2016-12-25,2017-03-11 21:37:00,7.4,0,121
jimothy000,47167,6,0,0,0,2,7.71,Male,"England,Manchester",1995-04-25,,2008-04-01,2008-04-27 16:00:00,9.33,5,473
MistButterfly,2485327,66,3923,115,0,368,614.96,Female,~ Hungary ~,1992-01-16,,2013-04-25,2018-05-17 13:31:00,5.49,0,39893
BadAngel,15865,3,20,0,0,5,21.34,Male,,1991-06-14,,2007-10-03,2017-05-31 15:52:00,8.71,23,1234
Not_Rijad,4980716,1,99,5,2,14,52.78,,Where even am I,,,2015-11-07,1900-05-10 17:59:00,8.02,0,3217
ProperBritish,253613,6,233,7,9,62,44.63,Male,United Kingdom,1992-02-20,,2009-11-01,1900-04-19 03:47:00,8.0,2,2652
Cranberry_cakes,32590,0,4,1,0,1,4.77,,,,,2008-01-20,2008-01-24 22:23:00,6.83,0,279
yen_otaku,211766,15,90,13,0,37,73.65,Female,manila,,,2009-07-22,2010-05-12 02:00:00,8.35,2,5399
kioniel,144049,11,433,5,2,0,166.24,Male,home,1988-01-16,,2009-01-29,2017-05-31 05:57:00,7.84,0,9893
iLLMaTiCc,2282031,47,80,10,14,151,61.82,Female,,,,2013-03-09,1900-01-07 20:41:00,7.02,0,3697
Xinil,1,4,230,8,89,60,133.32,Male,California,1985-03-04,,2004-11-05,2018-05-14 18:02:55,7.37,58,7920
xxhatechasexx,118593,7,31,18,0,29,23.25,Female,socal =),,,2008-11-28,2011-09-06 12:53:00,10.0,0,1371
helenply,2529849,9,184,6,8,39,41.15,Female,Mexico,1999-08-30,,2013-05-06,1900-05-13 15:25:00,7.19,1,2526
cfoordddd,61291,5,392,31,0,288,151.61,,Sydney Australia N.S.W,,,2008-05-17,1900-04-18 00:58:00,7.94,6,10027
hood_rad,4538087,1,314,0,1,160,80.22,Male,Hamilton Ontario,1997-10-31,,2015-04-04,1900-04-21 19:44:00,0.0,0,4800
sweetangie,452735,3,432,7,28,10,134.48,Female,Nevada USA,,,2011-02-23,1900-05-13 02:35:00,7.71,3,7851
detestedlove311,5309,3,29,5,2,20,24.58,Female,"Chicago, IL",1989-09-14,,2007-06-06,2009-11-16 16:48:00,7.73,0,1447
ihasabucket,18867,6,146,15,25,15,63.02,Male,"San Jose, CA",1984-09-08,,2007-10-26,2015-06-28 01:17:00,7.84,0,3758
